D:/_June2023/WsnLocalize/LocalizeHsm.txt,100
0,16,257,100,0
1,20,290,100,0
2,21,231,100,0
3,32,404,100,0
4,34,387,100,0
5,40,298,100,0
6,46,28,100,0
7,53,349,100,0
8,55,121,100,0
9,59,381,100,0
10,61,220,100,0
11,70,61,100,0
12,73,6,100,0
13,77,91,100,0
14,89,57,100,0
15,97,7,100,0
16,102,426,100,0
17,114,223,100,0
18,114,444,100,0
19,121,255,100,0
20,140,307,100,0
21,142,346,100,0
22,162,56,100,0
23,169,260,100,0
24,176,380,100,0
25,198,438,100,0
26,201,32,100,0
27,237,266,100,0
28,241,306,100,0
29,251,36,100,0
30,251,317,100,0
31,254,382,100,0
32,262,304,100,0
33,269,117,100,0
34,272,274,100,0
35,281,309,100,0
36,301,111,100,0
37,303,381,100,0
38,311,43,100,0
39,317,11,100,0
40,320,463,100,0
41,325,466,100,0
42,328,129,100,0
43,343,460,100,0
44,348,307,100,0
45,354,128,100,0
46,355,94,100,0
47,357,226,100,0
48,363,435,100,0
49,365,333,100,0
50,392,195,100,0
51,396,95,100,0
52,396,331,100,0
53,403,123,100,0
54,424,168,100,0
55,439,464,100,0
56,442,402,100,0
57,448,353,100,0
58,457,404,100,0
59,476,33,100,0
60,478,272,100,0
61,481,15,100,0
62,489,250,100,0
63,491,177,100,0
64,495,3,100,0
65,495,212,100,0
66,500,431,100,0
67,504,335,100,0
68,516,456,100,0
69,519,303,100,0
70,529,14,100,0
71,553,339,100,0
72,556,109,100,0
73,556,220,100,0
74,562,7,100,0
75,587,418,100,0
76,593,279,100,0
77,598,218,100,0
78,599,138,100,0
79,610,266,100,0
80,619,299,100,0
81,622,83,100,0
82,630,74,100,0
83,641,115,100,0
84,651,47,100,0
85,664,152,100,0
86,681,386,100,0
87,685,406,100,0
88,701,354,100,0
89,705,439,100,0
90,708,446,100,0
91,711,0,100,0
92,729,460,100,0
93,731,267,100,0
94,733,459,100,0
95,755,308,100,0
96,760,172,100,0
97,763,311,100,0
98,768,246,100,0
99,770,95,100,0
